Team,GP,W,L,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT - MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST,Season Type,Season
NEW YORK LIBERTY,28,17,11,40.5,80.3,19.7,64.4,13.6,14.6,12.5,21.0,27.9,50.8,64.8,35.2,92.5,7.5,68.4,31.6,Regular,1997
CHARLOTTE STING,28,15,13,40.0,80.6,19.4,64.6,14.5,17.5,14.4,17.9,22.9,50.1,64.0,36.0,86.4,13.6,67.5,32.5,Regular,1997
PHOENIX MERCURY,28,16,12,40.1,75.6,24.4,54.3,11.9,20.6,14.6,25.1,29.3,42.3,61.2,38.8,87.0,13.0,66.4,33.6,Regular,1997
UTAH STARZZ,28,7,21,40.4,80.4,19.6,62.0,13.8,17.6,13.3,20.4,22.8,48.2,59.9,40.1,84.0,16.0,63.7,36.3,Regular,1997
CLEVELAND ROCKERS,28,15,13,40.5,89.2,10.8,67.2,17.0,9.9,11.0,22.9,23.9,50.2,60.5,39.5,87.7,12.3,62.9,37.1,Regular,1997
LOS ANGELES SPARKS,28,14,14,40.5,86.1,13.9,70.0,15.5,10.7,16.1,19.3,24.2,54.4,58.2,41.8,75.7,24.3,59.8,40.2,Regular,1997
SACRAMENTO MONARCHS,28,10,18,40.4,80.1,19.9,63.2,17.7,16.7,9.6,20.1,21.6,45.5,52.2,47.8,72.0,28.0,55.2,44.8,Regular,1997
HOUSTON COMETS,28,18,10,40.4,71.0,29.0,52.8,10.7,25.2,10.6,22.0,27.1,42.1,46.0,54.0,82.8,17.2,54.9,45.1,Regular,1997
CLEVELAND ROCKERS,30,20,10,40.5,83.7,16.3,63.5,16.9,14.5,12.9,22.0,26.3,46.6,68.5,31.5,91.5,8.5,71.6,28.4,Regular,1998
PHOENIX MERCURY,30,19,11,40.5,78.2,21.8,59.3,11.1,17.6,11.3,23.1,27.1,48.2,63.6,36.4,96.2,3.8,69.0,31.0,Regular,1998
NEW YORK LIBERTY,30,18,12,40.3,84.2,15.8,64.7,14.8,13.4,13.1,21.9,25.7,50.0,65.0,35.0,87.0,13.0,67.7,32.3,Regular,1998
CHARLOTTE STING,30,18,12,40.0,79.7,20.3,64.7,14.7,14.7,18.1,20.6,25.7,49.9,60.6,39.4,87.6,12.4,64.2,35.8,Regular,1998
SACRAMENTO MONARCHS,29,7,22,40.2,84.3,15.7,69.7,16.1,11.6,10.8,18.7,23.6,53.6,60.0,40.0,91.5,8.5,63.2,36.8,Regular,1998
UTAH STARZZ,30,8,22,40.3,81.2,18.8,63.5,12.9,16.2,14.1,20.3,20.2,50.6,58.1,41.9,84.1,15.9,61.9,38.1,Regular,1998
LOS ANGELES SPARKS,30,12,18,40.2,82.5,17.5,63.9,15.3,15.5,12.6,20.6,20.9,48.6,55.7,44.3,81.1,18.9,59.2,40.8,Regular,1998
DETROIT SHOCK,30,17,13,40.0,84.0,16.0,64.6,20.2,13.9,11.5,21.5,21.0,44.4,53.0,47.0,77.3,22.7,56.0,44.0,Regular,1998
WASHINGTON MYSTICS,29,3,26,40.2,76.3,23.7,61.5,14.1,17.8,11.8,20.7,25.3,47.4,52.6,47.4,66.1,33.9,54.8,45.2,Regular,1998
HOUSTON COMETS,30,27,3,40.5,71.3,28.7,54.1,8.3,23.2,17.2,22.7,28.0,45.8,45.8,54.2,81.9,18.1,53.8,46.2,Regular,1998
CHARLOTTE STING,32,15,17,40.2,79.6,20.4,65.1,18.2,15.4,13.0,19.5,19.0,47.0,67.9,32.1,95.4,4.6,71.6,28.4,Regular,1999
MINNESOTA LYNX,32,15,17,40.5,68.6,31.4,53.9,20.6,29.5,7.8,16.7,23.1,33.2,61.7,38.3,93.5,6.5,70.2,29.8,Regular,1999
PHOENIX MERCURY,32,15,17,39.9,76.0,24.0,57.9,16.5,18.6,7.4,23.6,20.6,41.3,63.5,36.5,84.3,15.7,67.1,32.9,Regular,1999
LOS ANGELES SPARKS,32,20,12,40.4,76.7,23.3,59.3,15.4,20.0,12.2,20.6,22.1,43.9,60.9,39.1,85.3,14.7,65.4,34.6,Regular,1999
UTAH STARZZ,32,15,17,40.6,81.4,18.6,62.4,14.2,13.6,10.2,24.1,21.6,48.2,61.1,38.9,94.4,5.6,65.3,34.7,Regular,1999
NEW YORK LIBERTY,32,18,14,39.7,75.6,24.4,57.7,16.6,24.1,13.0,18.2,26.9,41.1,58.4,41.6,87.7,12.3,64.8,35.2,Regular,1999
CLEVELAND ROCKERS,32,7,25,38.8,83.3,16.7,67.6,18.8,13.2,10.2,19.2,21.5,48.9,60.5,39.5,90.7,9.3,63.9,36.1,Regular,1999
WASHINGTON MYSTICS,32,12,20,40.5,80.8,19.2,62.8,15.5,14.3,10.6,23.0,19.2,47.2,56.6,43.4,88.0,12.0,60.7,39.3,Regular,1999
HOUSTON COMETS,32,26,6,40.2,71.4,28.6,56.2,15.4,22.3,13.9,21.5,23.0,40.8,52.3,47.7,85.8,14.2,59.3,40.7,Regular,1999
SACRAMENTO MONARCHS,32,19,13,40.0,79.0,21.0,60.5,7.2,15.8,17.3,23.7,24.6,53.3,54.4,45.6,84.9,15.1,58.9,41.1,Regular,1999
ORLANDO MIRACLE,32,15,17,40.3,75.3,24.7,57.8,11.0,21.1,10.6,21.1,23.8,46.9,53.4,46.6,81.3,18.7,58.9,41.1,Regular,1999
DETROIT SHOCK,32,15,17,40.5,83.1,16.9,60.0,19.3,16.0,9.9,24.0,24.5,40.7,55.0,45.0,78.2,21.8,58.5,41.5,Regular,1999
LOS ANGELES SPARKS,32,28,4,40.3,76.9,23.1,58.8,16.4,18.6,13.6,22.5,20.2,42.4,65.3,34.7,81.3,18.7,68.1,31.9,Regular,2000
CHARLOTTE STING,32,8,24,40.5,79.7,20.3,62.3,14.2,18.0,14.0,19.7,19.9,48.1,63.4,36.6,90.8,9.2,67.9,32.1,Regular,2000
CLEVELAND ROCKERS,32,17,15,39.3,78.2,21.8,61.8,16.2,18.5,11.7,19.7,24.7,45.6,62.1,37.9,87.8,12.2,66.4,33.6,Regular,2000
SACRAMENTO MONARCHS,32,21,11,40.0,77.0,23.0,62.7,12.4,18.2,14.6,19.2,23.1,50.3,61.0,39.0,83.8,16.2,64.7,35.3,Regular,2000
MINNESOTA LYNX,32,15,17,40.2,68.8,31.2,51.6,14.1,27.9,5.7,20.4,23.6,37.5,57.1,42.9,84.3,15.7,64.3,35.7,Regular,2000
MIAMI SOL,32,13,19,40.5,82.5,17.5,61.4,22.0,13.9,9.9,24.7,25.9,39.4,60.7,39.3,87.1,12.9,64.1,35.9,Regular,2000
PORTLAND FIRE,32,10,22,40.8,76.3,23.7,57.2,11.8,20.2,12.1,22.6,23.1,45.4,56.8,43.2,89.7,10.3,63.1,36.9,Regular,2000
INDIANA FEVER,32,9,23,40.2,71.7,28.3,54.5,10.6,26.2,9.7,19.3,22.8,43.9,55.2,44.8,87.0,13.0,62.9,37.1,Regular,2000
WASHINGTON MYSTICS,32,14,18,40.0,81.5,18.5,66.5,17.7,15.0,12.5,18.5,22.1,48.7,58.5,41.5,89.9,10.1,62.6,37.4,Regular,2000
UTAH STARZZ,32,18,14,40.0,86.2,13.8,63.8,15.2,10.9,11.3,25.2,18.6,48.7,58.1,41.9,85.2,14.8,60.8,39.2,Regular,2000
NEW YORK LIBERTY,32,20,12,40.2,78.2,21.8,61.2,18.3,18.9,11.1,20.0,23.8,42.8,55.7,44.3,82.2,17.8,60.2,39.8,Regular,2000
SEATTLE STORM,32,6,26,40.5,79.1,20.9,61.3,14.7,17.9,7.0,20.8,26.5,46.5,52.5,47.5,89.0,11.0,58.5,41.5,Regular,2000
DETROIT SHOCK,32,14,18,40.2,86.2,13.8,68.0,17.4,9.8,15.9,22.3,24.8,50.5,55.2,44.8,86.8,13.2,57.9,42.1,Regular,2000
PHOENIX MERCURY,32,20,12,40.1,78.2,21.8,60.7,17.4,16.4,12.3,23.0,26.4,43.2,52.7,47.3,85.2,14.8,57.6,42.4,Regular,2000
ORLANDO MIRACLE,32,16,16,39.4,77.6,22.4,62.4,19.8,19.9,11.0,17.6,22.4,42.6,53.4,46.6,73.2,26.8,56.9,43.1,Regular,2000
HOUSTON COMETS,32,27,5,40.5,74.1,25.9,58.1,12.9,20.8,13.0,21.1,23.2,45.2,48.4,51.6,84.9,15.1,55.4,44.6,Regular,2000
PHOENIX MERCURY,32,13,19,40.3,83.5,16.5,64.5,17.1,14.7,11.1,20.8,22.5,47.5,63.8,36.2,88.1,11.9,67.0,33.0,Regular,2001
SACRAMENTO MONARCHS,32,20,12,40.8,78.6,21.4,58.8,10.8,21.3,11.6,19.9,23.5,48.0,61.6,38.4,87.7,12.3,66.7,33.3,Regular,2001
NEW YORK LIBERTY,32,21,11,40.0,77.0,23.0,62.3,17.6,22.2,8.5,15.5,24.6,44.7,61.2,38.8,88.1,11.9,66.4,33.6,Regular,2001
CLEVELAND ROCKERS,32,22,10,40.2,81.1,18.9,65.6,18.8,15.9,10.1,18.5,23.0,46.8,62.4,37.6,87.7,12.3,65.9,34.1,Regular,2001
MINNESOTA LYNX,32,12,20,40.5,69.5,30.5,47.7,11.9,25.4,10.3,26.8,23.0,35.9,59.6,40.4,80.7,19.3,65.1,34.9,Regular,2001
LOS ANGELES SPARKS,32,28,4,40.5,78.5,21.5,61.9,16.2,19.7,14.1,18.4,20.5,45.7,60.2,39.8,88.1,11.9,65.1,34.9,Regular,2001
UTAH STARZZ,32,19,13,40.5,86.8,13.2,66.4,20.2,10.6,10.3,23.0,17.8,46.2,61.5,38.5,93.6,6.4,64.6,35.4,Regular,2001
CHARLOTTE STING,32,18,14,40.6,76.0,24.0,57.7,14.4,22.3,11.9,20.0,22.0,43.3,57.2,42.8,83.7,16.3,62.6,37.4,Regular,2001
MIAMI SOL,32,20,12,41.1,83.8,16.2,67.6,28.1,14.3,9.8,18.2,25.2,39.4,59.2,40.8,81.7,18.3,61.9,38.1,Regular,2001
PORTLAND FIRE,32,11,21,40.8,72.6,27.4,53.7,13.7,24.7,12.7,21.6,23.0,40.0,52.4,47.6,91.3,8.7,61.5,38.5,Regular,2001
DETROIT SHOCK,32,10,22,40.9,78.8,21.2,60.0,16.9,20.4,8.5,19.6,23.2,43.1,56.3,43.7,79.7,20.3,60.6,39.4,Regular,2001
INDIANA FEVER,32,10,22,40.5,75.5,24.5,56.3,12.1,21.9,10.5,21.9,23.0,44.2,53.2,46.8,86.6,13.4,60.1,39.9,Regular,2001
SEATTLE STORM,32,10,22,40.9,77.4,22.6,58.4,13.2,20.0,10.3,21.6,22.5,45.2,53.1,46.9,89.1,10.9,59.8,40.2,Regular,2001
ORLANDO MIRACLE,32,13,19,40.3,72.2,27.8,55.5,10.2,24.4,12.9,20.1,25.8,45.3,53.7,46.3,76.4,23.6,58.9,41.1,Regular,2001
WASHINGTON MYSTICS,32,10,22,40.6,78.2,21.8,64.6,19.1,18.2,15.6,17.2,19.9,45.5,52.3,47.7,84.6,15.4,57.4,42.6,Regular,2001
HOUSTON COMETS,32,19,13,40.3,77.2,22.8,59.5,16.0,20.2,9.6,20.3,22.0,43.5,52.1,47.9,79.0,21.0,57.0,43.0,Regular,2001
LOS ANGELES SPARKS,32,25,7,40.5,74.3,25.7,56.9,13.7,23.8,11.9,19.3,18.8,43.2,60.1,39.9,84.5,15.5,65.4,34.6,Regular,2002
SEATTLE STORM,32,17,15,40.3,74.0,26.0,55.9,13.6,25.0,10.9,19.1,25.5,42.3,59.0,41.0,84.1,15.9,64.7,35.3,Regular,2002
CHARLOTTE STING,32,18,14,40.3,70.6,29.4,49.9,11.1,28.2,8.9,21.9,20.9,38.8,55.5,44.5,88.2,11.8,64.4,35.6,Regular,2002
NEW YORK LIBERTY,32,18,14,40.3,77.0,23.0,60.1,14.9,20.8,10.5,19.1,23.7,45.1,59.6,40.4,84.1,15.9,64.2,35.8,Regular,2002
SACRAMENTO MONARCHS,32,14,18,41.1,79.7,20.3,61.7,16.7,15.5,11.3,22.8,21.7,45.0,59.9,40.1,89.3,10.7,64.1,35.9,Regular,2002
MINNESOTA LYNX,32,10,22,40.5,71.8,28.2,56.0,8.8,24.9,9.5,19.1,22.6,47.2,57.8,42.2,85.5,14.5,64.1,35.9,Regular,2002
WASHINGTON MYSTICS,32,17,15,40.1,76.8,23.2,60.2,21.9,23.1,11.4,16.8,20.4,38.3,57.1,42.9,91.4,8.6,64.0,36.0,Regular,2002
CLEVELAND ROCKERS,32,10,22,40.7,79.4,20.6,61.7,16.6,17.5,8.5,20.8,20.7,45.1,59.2,40.8,85.0,15.0,63.3,36.7,Regular,2002
DETROIT SHOCK,32,9,23,40.3,81.0,19.0,62.1,16.2,15.6,12.2,22.3,20.6,45.9,58.8,41.2,83.6,16.4,62.4,37.6,Regular,2002
MIAMI SOL,32,15,17,40.5,79.0,21.0,63.0,25.4,18.9,7.6,18.0,25.5,37.6,58.0,42.0,79.1,20.9,61.5,38.5,Regular,2002
INDIANA FEVER,32,16,16,40.2,70.3,29.7,52.6,12.3,25.8,10.5,21.7,21.8,40.2,53.7,46.3,83.9,16.1,61.1,38.9,Regular,2002
HOUSTON COMETS,32,24,8,40.2,81.3,18.7,62.4,21.4,15.8,12.8,21.9,22.4,40.9,55.3,44.7,85.3,14.7,59.6,40.4,Regular,2002
PORTLAND FIRE,32,16,16,40.5,79.9,20.1,64.0,15.4,17.4,10.3,18.7,22.2,48.6,54.8,45.2,84.3,15.7,59.3,40.7,Regular,2002
UTAH STARZZ,32,20,12,40.3,87.1,12.9,62.4,14.3,11.0,12.1,26.6,19.1,48.1,53.3,46.7,85.4,14.6,56.7,43.3,Regular,2002
ORLANDO MIRACLE,32,16,16,40.8,75.9,24.1,58.8,15.4,19.3,12.6,21.9,24.3,43.5,50.2,49.8,77.9,22.1,55.2,44.8,Regular,2002
PHOENIX MERCURY,32,11,21,40.0,82.6,17.4,66.3,19.5,14.3,10.2,19.4,21.2,46.8,49.9,50.1,81.0,19.0,53.8,46.2,Regular,2002
MINNESOTA LYNX,34,18,16,40.3,73.5,26.5,58.4,10.1,22.7,9.5,18.9,18.9,48.3,60.9,39.1,87.2,12.8,66.3,33.7,Regular,2003
SACRAMENTO MONARCHS,34,19,15,40.1,77.6,22.4,61.9,14.1,19.6,11.4,18.5,24.1,47.8,61.0,39.0,89.3,10.7,65.9,34.1,Regular,2003
LOS ANGELES SPARKS,34,24,10,40.6,75.3,24.7,57.6,14.9,20.9,11.2,21.5,19.2,42.7,61.9,38.1,81.0,19.0,65.7,34.3,Regular,2003
INDIANA FEVER,34,16,18,40.4,70.2,29.8,53.8,9.8,27.0,8.6,19.2,22.3,44.1,58.2,41.8,82.4,17.6,64.2,35.8,Regular,2003
NEW YORK LIBERTY,34,16,18,40.3,74.0,26.0,57.5,15.0,24.2,10.0,18.3,22.8,42.5,60.2,39.8,76.8,23.2,63.9,36.1,Regular,2003
CLEVELAND ROCKERS,34,17,17,40.1,78.5,21.5,61.0,16.6,18.2,6.6,20.8,21.3,44.4,57.8,42.2,91.9,8.1,63.4,36.6,Regular,2003
CHARLOTTE STING,34,18,16,40.3,72.5,27.5,54.1,12.2,25.3,10.6,20.6,24.0,41.9,55.5,44.5,88.8,11.2,63.4,36.6,Regular,2003
WASHINGTON MYSTICS,34,9,25,40.4,77.0,23.0,63.4,20.0,20.2,12.7,16.4,21.1,43.4,57.5,42.5,91.1,8.9,63.4,36.6,Regular,2003
SEATTLE STORM,34,18,16,40.3,75.6,24.4,60.6,14.7,20.9,9.1,18.5,20.0,45.9,57.2,42.8,80.7,19.3,61.6,38.4,Regular,2003
DETROIT SHOCK,34,25,9,40.6,83.9,16.1,60.9,14.2,14.7,16.7,24.4,22.4,46.7,57.1,42.9,80.8,19.2,60.4,39.6,Regular,2003
CONNECTICUT SUN,34,18,16,40.4,73.9,26.1,57.6,15.9,22.3,11.2,20.1,19.8,41.8,53.9,46.1,84.7,15.3,60.2,39.8,Regular,2003
PHOENIX MERCURY,34,8,26,40.7,83.3,16.7,65.3,23.6,16.6,11.1,18.1,24.3,41.8,54.5,45.5,75.9,24.1,57.6,42.4,Regular,2003
HOUSTON COMETS,34,20,14,40.1,82.0,18.0,63.5,17.7,15.4,9.3,21.1,18.8,45.8,50.9,49.1,88.7,11.3,56.2,43.8,Regular,2003
SAN ANTONIO SILVER STARS,34,12,22,40.1,84.8,15.2,63.1,13.7,12.6,12.3,24.3,17.7,49.4,49.5,50.5,88.2,11.8,54.0,46.0,Regular,2003
INDIANA FEVER,34,15,19,40.3,76.1,23.9,56.9,16.5,22.7,11.6,20.4,22.0,40.4,66.7,33.3,83.1,16.9,70.2,29.8,Regular,2004
LOS ANGELES SPARKS,34,25,9,41.0,80.0,20.0,59.9,15.3,18.9,12.0,21.2,20.0,44.6,66.8,33.2,80.9,19.1,69.2,30.8,Regular,2004
MINNESOTA LYNX,34,18,16,40.3,71.5,28.5,54.5,11.6,24.5,11.4,20.9,22.0,43.0,62.9,37.1,87.6,12.4,68.6,31.4,Regular,2004
NEW YORK LIBERTY,34,18,16,40.6,68.1,31.9,53.6,14.7,28.8,10.2,17.7,20.2,38.8,58.0,42.0,87.5,12.5,65.8,34.2,Regular,2004
CONNECTICUT SUN,34,18,16,40.6,77.2,22.8,62.3,18.8,19.1,10.7,18.6,21.8,43.5,60.9,39.1,86.6,13.4,65.3,34.7,Regular,2004
DETROIT SHOCK,34,17,17,40.3,90.0,10.0,68.7,22.8,7.9,14.7,23.4,21.2,45.9,63.4,36.6,79.0,21.0,64.5,35.5,Regular,2004
SEATTLE STORM,34,20,14,40.1,78.3,21.7,57.9,20.4,20.6,9.6,21.5,23.8,37.5,58.1,41.9,85.0,15.0,63.2,36.8,Regular,2004
SAN ANTONIO SILVER STARS,34,9,25,40.4,87.3,12.7,66.9,24.0,10.8,11.2,22.3,21.3,42.9,59.3,40.7,73.4,26.6,60.7,39.3,Regular,2004
PHOENIX MERCURY,34,17,17,40.1,73.0,27.0,55.1,17.5,25.0,9.5,19.8,23.5,37.7,53.5,46.5,84.4,15.6,60.7,39.3,Regular,2004
SACRAMENTO MONARCHS,34,18,16,40.6,82.4,17.6,64.4,16.8,16.7,10.4,18.8,26.0,47.7,54.9,45.1,85.3,14.7,59.4,40.6,Regular,2004
CHARLOTTE STING,34,16,18,40.6,73.7,26.3,55.4,15.7,23.8,6.5,20.8,21.3,39.7,48.7,51.3,86.7,13.3,57.2,42.8,Regular,2004
HOUSTON COMETS,34,13,21,40.3,81.5,18.5,62.0,20.3,16.9,11.4,21.0,22.0,41.7,50.5,49.5,89.4,10.6,56.5,43.5,Regular,2004
WASHINGTON MYSTICS,34,17,17,40.3,86.4,13.6,66.1,21.3,13.5,12.5,20.4,21.5,44.7,50.3,49.7,77.1,22.9,53.5,46.5,Regular,2004
PHOENIX MERCURY,34,16,18,40.0,73.0,27.0,54.9,21.2,22.6,9.3,22.5,20.1,33.7,60.8,39.2,87.1,12.9,66.5,33.5,Regular,2005
MINNESOTA LYNX,34,14,20,40.3,74.7,25.3,56.9,10.0,23.4,9.2,19.7,20.8,47.0,59.9,40.1,89.5,10.5,66.3,33.7,Regular,2005
CHARLOTTE STING,34,6,28,40.7,84.3,15.7,63.8,20.1,14.9,9.3,21.3,25.3,43.6,60.3,39.7,86.5,13.5,63.9,36.1,Regular,2005
LOS ANGELES SPARKS,34,17,17,40.0,81.0,19.0,64.4,17.9,16.0,11.5,19.6,22.4,46.5,59.7,40.3,83.9,16.1,63.1,36.9,Regular,2005
INDIANA FEVER,34,21,13,40.7,76.1,23.9,58.5,19.4,20.7,11.3,20.8,25.2,39.1,57.6,42.4,85.3,14.7,62.9,37.1,Regular,2005
CONNECTICUT SUN,34,26,8,40.0,81.6,18.4,63.5,19.8,15.8,12.6,20.7,19.2,43.7,59.4,40.6,81.5,18.5,62.6,37.4,Regular,2005
SACRAMENTO MONARCHS,34,25,9,40.0,81.9,18.1,62.2,14.5,16.6,9.6,21.2,26.3,47.7,57.0,43.0,88.4,11.6,61.8,38.2,Regular,2005
WASHINGTON MYSTICS,34,16,18,40.6,74.1,25.9,58.9,21.7,24.0,9.4,17.1,22.0,37.1,53.2,46.8,90.1,9.9,61.0,39.0,Regular,2005
NEW YORK LIBERTY,34,18,16,40.7,67.5,32.5,53.5,14.4,27.0,6.4,19.5,18.5,39.1,51.1,48.9,87.0,13.0,60.1,39.9,Regular,2005
SEATTLE STORM,34,20,14,40.1,79.2,20.8,61.2,16.3,17.1,10.7,21.8,18.7,44.9,53.4,46.6,78.9,21.1,57.4,42.6,Regular,2005
DETROIT SHOCK,34,16,18,40.7,88.4,11.6,67.2,19.4,10.1,12.1,22.7,22.4,47.8,54.4,45.6,82.9,17.1,57.0,43.0,Regular,2005
SAN ANTONIO SILVER STARS,34,7,27,40.0,81.5,18.5,61.1,17.6,15.4,9.1,23.5,19.6,43.5,51.5,48.5,87.3,12.7,56.7,43.3,Regular,2005
HOUSTON COMETS,34,19,15,40.4,89.3,10.7,69.2,23.0,8.1,8.5,22.8,23.0,46.2,51.8,48.2,87.1,12.9,54.3,45.7,Regular,2005
CONNECTICUT SUN,34,26,8,40.4,77.0,23.0,60.2,19.4,19.5,10.8,20.3,19.3,40.8,59.5,40.5,85.6,14.4,64.2,35.8,Regular,2006
LOS ANGELES SPARKS,34,25,9,40.4,82.8,17.2,66.1,21.5,12.9,9.5,21.0,20.7,44.6,60.4,39.6,86.5,13.5,63.4,36.6,Regular,2006
DETROIT SHOCK,34,23,11,40.1,81.3,18.7,61.9,19.3,16.2,11.5,21.9,19.5,42.6,58.6,41.4,83.1,16.9,62.2,37.8,Regular,2006
CHARLOTTE STING,34,11,23,40.1,75.0,25.0,56.0,15.9,21.5,10.0,22.5,24.2,40.1,54.2,45.8,87.5,12.5,61.0,39.0,Regular,2006
CHICAGO SKY,34,5,29,40.0,75.4,24.6,60.4,16.2,20.3,10.2,19.3,21.5,44.2,53.4,46.6,86.0,14.0,59.3,40.7,Regular,2006
PHOENIX MERCURY,33,17,16,40.5,70.4,29.6,55.3,20.0,26.5,14.4,18.2,19.1,35.3,52.5,47.5,80.2,19.8,59.2,40.8,Regular,2006
SAN ANTONIO SILVER STARS,34,13,21,40.1,75.3,24.7,57.6,16.9,22.5,10.3,20.0,20.4,40.7,54.0,46.0,78.3,21.7,59.0,41.0,Regular,2006
NEW YORK LIBERTY,33,11,22,40.3,68.9,31.1,51.7,16.8,26.8,9.2,21.5,21.2,34.9,48.0,52.0,85.3,14.7,57.6,42.4,Regular,2006
INDIANA FEVER,34,21,13,40.3,74.3,25.7,57.7,18.2,21.1,12.2,21.2,25.8,39.5,49.9,50.1,88.3,11.7,57.4,42.6,Regular,2006
HOUSTON COMETS,34,18,16,40.7,77.5,22.5,60.6,17.9,20.2,5.9,19.2,19.9,42.6,50.9,49.1,86.4,13.6,57.3,42.7,Regular,2006
