Team,GP,W,L,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT - MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST,Season Type,Season
WASHINGTON MYSTICS,34,18,16,40.3,76.3,23.7,60.4,18.0,20.4,13.3,19.2,23.6,42.4,50.9,49.1,82.4,17.6,56.7,43.3,Regular,2006
SACRAMENTO MONARCHS,34,21,13,40.4,78.9,21.1,60.1,12.0,18.6,10.4,21.4,24.3,48.1,49.3,50.7,84.7,15.3,55.4,44.6,Regular,2006
SEATTLE STORM,34,18,16,40.0,77.6,22.4,60.6,19.7,18.2,11.9,21.3,18.3,40.9,50.0,50.0,71.3,28.8,53.5,46.5,Regular,2006
MINNESOTA LYNX,34,10,24,40.1,81.0,19.0,63.2,20.8,17.6,9.7,19.2,17.0,42.4,46.9,53.1,79.1,20.9,52.0,48.0,Regular,2006
CHICAGO SKY,34,14,20,39.5,75.8,24.2,58.2,19.1,22.8,11.3,18.9,23.0,39.2,58.8,41.2,87.6,12.4,64.7,35.3,Regular,2007
PHOENIX MERCURY,34,23,11,40.3,66.8,33.2,51.6,14.2,28.1,18.7,20.4,22.2,37.4,55.6,44.4,88.0,12.0,64.3,35.7,Regular,2007
CONNECTICUT SUN,34,18,16,39.9,75.6,24.4,60.2,20.1,21.8,12.2,17.9,21.1,40.1,58.4,41.6,77.5,22.5,62.1,37.9,Regular,2007
SAN ANTONIO SILVER STARS,34,20,14,40.4,74.0,26.0,56.9,16.8,24.7,11.4,18.4,23.7,40.0,55.7,44.3,81.2,18.8,61.4,38.6,Regular,2007
MINNESOTA LYNX,34,10,24,40.4,78.9,21.1,61.3,19.1,18.6,13.3,20.1,20.9,42.2,55.4,44.6,90.8,9.2,61.4,38.6,Regular,2007
HOUSTON COMETS,34,13,21,39.2,83.1,16.9,63.0,18.5,14.7,9.3,22.3,23.6,44.5,56.2,43.8,90.1,9.9,60.8,39.2,Regular,2007
SACRAMENTO MONARCHS,34,19,15,39.3,80.5,19.5,58.8,15.4,18.5,7.3,22.8,23.8,43.3,53.3,46.7,88.7,11.3,59.4,40.6,Regular,2007
LOS ANGELES SPARKS,34,10,24,40.6,80.2,19.8,61.6,19.7,18.9,9.4,19.5,21.4,41.9,53.7,46.3,84.9,15.1,59.0,41.0,Regular,2007
DETROIT SHOCK,34,24,10,40.3,80.4,19.6,60.3,21.4,17.6,10.7,22.1,20.4,38.9,53.6,46.4,79.1,20.9,57.7,42.3,Regular,2007
NEW YORK LIBERTY,34,16,18,40.3,68.7,31.3,52.0,16.8,30.2,7.5,17.8,22.5,35.1,47.0,53.0,84.4,15.6,57.5,42.5,Regular,2007
INDIANA FEVER,34,21,13,40.4,74.8,25.2,58.0,19.1,22.7,12.2,19.3,23.3,38.9,48.8,51.2,85.1,14.9,56.3,43.7,Regular,2007
SEATTLE STORM,34,17,17,40.1,71.1,28.9,54.1,16.7,24.6,10.9,21.3,18.6,37.5,47.7,52.3,80.4,19.6,55.3,44.7,Regular,2007
WASHINGTON MYSTICS,34,16,18,40.6,75.7,24.3,55.2,15.6,18.9,11.5,25.8,22.2,39.6,47.2,52.8,82.8,17.2,53.8,46.2,Regular,2007
SAN ANTONIO SILVER STARS,34,24,10,40.3,74.1,25.9,56.4,16.3,21.6,9.6,22.0,22.2,40.1,61.4,38.6,87.4,12.6,66.7,33.3,Regular,2008
LOS ANGELES SPARKS,34,20,14,41.2,78.4,21.6,61.8,17.4,17.4,11.8,20.7,21.6,44.4,59.8,40.2,88.1,11.9,64.3,35.7,Regular,2008
CONNECTICUT SUN,34,21,13,40.3,70.7,29.3,55.3,17.2,24.6,8.7,20.0,19.1,38.1,56.6,43.4,84.2,15.8,62.9,37.1,Regular,2008
DETROIT SHOCK,34,22,12,40.4,79.3,20.7,60.3,21.7,18.9,10.1,20.8,23.2,38.6,57.9,42.1,81.5,18.5,62.0,38.0,Regular,2008
CHICAGO SKY,34,12,22,40.4,83.7,16.3,63.8,16.1,13.4,13.6,22.8,22.3,47.7,56.7,43.3,89.1,10.9,60.7,39.3,Regular,2008
NEW YORK LIBERTY,34,19,15,40.6,67.4,32.6,50.8,14.5,30.2,6.5,19.0,22.2,36.2,49.9,50.1,86.9,13.1,60.4,39.6,Regular,2008
HOUSTON COMETS,34,17,17,40.7,78.4,21.6,60.2,18.2,17.8,10.9,22.0,22.0,42.0,56.7,43.3,77.0,23.0,60.0,40.0,Regular,2008
SEATTLE STORM,34,22,12,40.0,78.6,21.4,60.6,18.3,17.2,9.2,22.1,21.1,42.4,55.2,44.8,79.0,21.0,59.0,41.0,Regular,2008
INDIANA FEVER,34,17,17,40.9,69.6,30.4,52.6,16.2,27.4,9.9,20.0,23.4,36.4,48.0,52.0,83.2,16.8,57.1,42.9,Regular,2008
MINNESOTA LYNX,34,16,18,40.6,82.1,17.9,62.0,19.4,14.4,10.1,23.6,21.0,42.6,51.7,48.3,85.0,15.0,56.2,43.8,Regular,2008
ATLANTA DREAM,34,4,30,40.1,73.5,26.5,54.7,16.7,23.9,9.6,21.4,20.9,38.0,49.4,50.6,74.3,25.7,55.0,45.0,Regular,2008
WASHINGTON MYSTICS,34,10,24,40.1,78.4,21.6,61.0,17.7,20.7,8.9,18.4,21.5,43.2,48.8,51.2,80.4,19.6,54.6,45.4,Regular,2008
SACRAMENTO MONARCHS,34,18,16,40.0,79.7,20.3,56.2,14.0,19.8,9.4,24.0,23.9,42.2,47.4,52.6,79.8,20.2,53.6,46.4,Regular,2008
PHOENIX MERCURY,34,16,18,40.1,71.8,28.2,55.7,19.3,22.9,15.0,21.3,17.9,36.4,47.6,52.4,70.0,30.0,52.4,47.6,Regular,2008
SAN ANTONIO SILVER STARS,34,15,19,40.9,66.3,33.7,52.0,15.1,29.4,9.9,18.6,20.8,36.9,54.6,45.4,88.7,11.3,63.9,36.1,Regular,2009
CONNECTICUT SUN,34,16,18,41.0,73.2,26.8,57.6,23.4,22.9,10.6,19.5,21.2,34.3,55.8,44.2,90.1,9.9,62.9,37.1,Regular,2009
LOS ANGELES SPARKS,34,18,16,40.7,77.4,22.6,64.8,18.7,18.0,8.1,17.2,20.7,46.1,54.2,45.8,93.4,6.6,60.3,39.7,Regular,2009
INDIANA FEVER,34,22,12,40.4,71.4,28.6,52.0,17.2,24.2,10.6,23.8,27.0,34.7,51.3,48.7,84.6,15.4,59.2,40.8,Regular,2009
SEATTLE STORM,34,20,14,41.3,77.0,23.0,58.0,14.5,20.2,10.1,21.8,21.9,43.6,52.8,47.2,85.4,14.6,59.0,41.0,Regular,2009
DETROIT SHOCK,34,18,16,41.0,80.9,19.1,62.4,26.2,17.3,9.4,20.3,21.3,36.2,53.9,46.1,84.3,15.7,58.7,41.3,Regular,2009
NEW YORK LIBERTY,34,13,21,40.6,67.3,32.7,51.4,12.5,30.3,6.4,18.2,20.4,38.9,45.8,54.2,90.6,9.4,58.4,41.6,Regular,2009
CHICAGO SKY,34,16,18,40.1,77.9,22.1,57.8,17.7,21.7,10.1,20.5,20.9,40.1,48.9,51.1,90.3,9.7,57.2,42.8,Regular,2009
SACRAMENTO MONARCHS,34,12,22,40.3,82.3,17.7,62.4,15.4,15.2,11.0,22.5,22.8,47.0,53.6,46.4,78.8,21.2,57.1,42.9,Regular,2009
PHOENIX MERCURY,34,23,11,40.3,72.9,27.1,54.9,15.9,24.6,14.7,20.5,16.7,39.1,47.8,52.2,81.3,18.7,55.5,44.5,Regular,2009
MINNESOTA LYNX,34,14,20,40.4,69.2,30.8,51.8,10.6,26.6,12.4,21.6,22.5,41.2,43.0,57.0,84.7,15.3,53.6,46.4,Regular,2009
ATLANTA DREAM,34,18,16,40.9,84.6,15.4,68.2,20.6,12.0,15.8,19.9,23.0,47.6,47.9,52.1,70.2,29.8,50.2,49.8,Regular,2009
WASHINGTON MYSTICS,34,16,18,40.4,80.7,19.3,61.4,17.8,16.1,15.1,22.4,21.4,43.6,41.6,58.4,88.5,11.5,48.6,51.4,Regular,2009
LOS ANGELES SPARKS,34,13,21,40.1,72.9,27.1,58.2,19.5,22.8,8.5,19.0,19.5,38.7,59.0,41.0,85.1,14.9,64.4,35.6,Regular,2010
SEATTLE STORM,34,28,6,40.6,70.1,29.9,53.6,11.7,26.5,10.3,19.8,20.6,41.9,55.4,44.6,90.7,9.3,64.1,35.9,Regular,2010
NEW YORK LIBERTY,34,22,12,40.4,74.2,25.8,57.0,23.2,26.0,9.3,17.0,21.4,33.9,56.9,43.1,83.3,16.7,63.0,37.0,Regular,2010
CHICAGO SKY,34,14,20,40.4,76.4,23.6,59.4,16.2,20.2,10.7,20.4,21.0,43.2,54.2,45.8,94.8,5.2,61.7,38.3,Regular,2010
SAN ANTONIO SILVER STARS,34,14,20,40.0,72.2,27.8,59.5,17.6,22.4,10.0,18.1,20.5,41.9,55.2,44.8,87.2,12.8,61.6,38.4,Regular,2010
ATLANTA DREAM,34,19,15,40.3,81.5,18.5,65.9,18.5,13.5,16.2,20.6,21.5,47.3,58.4,41.6,82.4,17.6,61.3,38.7,Regular,2010
INDIANA FEVER,34,21,13,40.4,72.5,27.5,54.5,18.5,24.4,10.9,21.2,23.0,36.0,53.0,47.0,84.7,15.3,60.3,39.7,Regular,2010
CONNECTICUT SUN,34,17,17,40.6,72.9,27.1,57.7,20.8,23.2,9.4,19.1,19.5,36.9,55.6,44.4,76.1,23.9,59.9,40.1,Regular,2010
PHOENIX MERCURY,34,15,19,40.9,71.2,28.8,56.3,11.8,23.7,16.6,20.0,16.3,44.5,54.3,45.7,78.6,21.4,59.6,40.4,Regular,2010
TULSA SHOCK,34,6,28,40.1,76.2,23.8,59.3,16.4,22.4,11.7,18.3,22.2,42.8,53.2,46.8,75.3,24.7,57.6,42.4,Regular,2010
MINNESOTA LYNX,34,13,21,40.7,77.9,22.1,57.9,21.7,19.0,14.1,23.1,20.4,36.3,45.4,54.6,91.7,8.3,53.7,46.3,Regular,2010
WASHINGTON MYSTICS,34,22,12,40.3,78.4,21.6,60.1,15.5,18.4,8.6,21.5,20.8,44.6,42.4,57.6,87.5,12.5,50.0,50.0,Regular,2010
SAN ANTONIO SILVER STARS,34,18,16,40.3,72.5,27.5,56.7,18.6,25.1,13.5,18.2,21.0,38.0,57.4,42.6,85.1,14.9,63.7,36.3,Regular,2011
LOS ANGELES SPARKS,34,15,19,40.6,72.7,27.3,56.1,15.1,27.1,9.0,16.8,16.8,41.0,55.8,44.2,86.9,13.1,63.4,36.6,Regular,2011
PHOENIX MERCURY,34,19,15,40.4,72.2,27.8,54.4,12.8,23.7,17.2,21.9,17.0,41.7,55.5,44.5,81.6,18.4,61.4,38.6,Regular,2011
SEATTLE STORM,34,21,13,40.0,70.6,29.4,55.7,11.4,26.2,12.8,18.0,22.0,44.3,55.4,44.6,79.3,20.7,61.1,38.9,Regular,2011
CHICAGO SKY,34,14,20,40.3,79.2,20.8,61.8,16.5,19.4,11.8,18.8,22.2,45.3,55.4,44.6,82.8,17.2,60.1,39.9,Regular,2011
INDIANA FEVER,34,21,13,40.1,72.1,27.9,54.0,15.3,25.3,9.7,20.7,21.7,38.7,51.2,48.8,85.7,14.3,59.4,40.6,Regular,2011
TULSA SHOCK,34,3,31,40.1,72.5,27.5,57.9,13.9,21.3,10.2,20.8,18.7,44.0,52.6,47.4,79.6,20.4,57.9,42.1,Regular,2011
ATLANTA DREAM,34,20,14,40.4,88.3,11.7,72.0,21.9,7.9,18.4,20.1,22.9,50.1,56.1,43.9,81.1,18.9,57.8,42.2,Regular,2011
CONNECTICUT SUN,34,21,13,40.7,76.6,23.4,59.3,17.8,22.2,12.8,18.4,19.5,41.6,53.1,46.9,76.2,23.8,57.7,42.3,Regular,2011
MINNESOTA LYNX,34,27,7,40.0,80.3,19.7,65.3,20.7,18.3,18.0,16.4,21.0,44.6,51.5,48.5,89.3,10.7,57.4,42.6,Regular,2011
WASHINGTON MYSTICS,34,6,28,40.4,76.0,24.0,58.7,14.7,21.3,12.5,20.0,20.5,44.0,46.8,53.2,84.8,15.2,54.2,45.8,Regular,2011
NEW YORK LIBERTY,34,19,15,40.3,76.1,23.9,62.1,19.2,22.9,13.4,15.1,24.7,42.9,48.1,51.9,75.1,24.9,53.5,46.5,Regular,2011
SEATTLE STORM,34,16,18,40.1,66.2,33.8,52.2,14.6,29.5,11.4,18.3,20.0,37.6,57.0,43.0,91.2,8.8,66.3,33.7,Regular,2012
MINNESOTA LYNX,34,27,7,40.4,75.7,24.3,59.8,18.5,23.2,16.8,17.0,19.9,41.3,58.5,41.5,86.3,13.7,64.2,35.8,Regular,2012
SAN ANTONIO SILVER STARS,34,21,13,40.3,70.7,29.3,55.3,16.6,27.2,13.9,17.5,22.1,38.6,55.4,44.6,85.0,15.0,62.7,37.3,Regular,2012
ATLANTA DREAM,34,19,15,40.7,79.0,21.0,64.4,16.5,16.2,18.3,19.5,24.3,47.9,55.5,44.5,94.4,5.6,61.1,38.9,Regular,2012
INDIANA FEVER,34,22,12,40.3,69.7,30.3,49.6,13.2,30.4,11.6,20.0,23.9,36.3,48.0,52.0,91.1,8.9,60.5,39.5,Regular,2012
WASHINGTON MYSTICS,34,5,29,40.1,77.7,22.3,63.3,19.2,18.5,12.2,18.1,21.3,44.1,53.9,46.1,91.7,8.3,60.1,39.9,Regular,2012
CHICAGO SKY,34,14,20,40.9,72.3,27.7,58.5,15.6,24.5,10.3,17.0,21.6,42.9,50.0,50.0,85.6,14.4,57.8,42.2,Regular,2012
CONNECTICUT SUN,34,25,9,40.6,76.2,23.8,58.7,19.5,21.5,10.3,19.8,21.4,39.2,50.5,49.5,84.9,15.1,57.3,42.7,Regular,2012
LOS ANGELES SPARKS,34,24,10,40.1,76.6,23.4,60.6,16.9,20.4,14.7,19.1,21.1,43.6,52.5,47.5,77.3,22.7,57.0,43.0,Regular,2012
TULSA SHOCK,34,9,25,40.4,69.0,31.0,50.3,11.4,31.0,14.4,18.7,25.6,38.9,45.5,54.5,81.2,18.8,55.9,44.1,Regular,2012
NEW YORK LIBERTY,34,15,19,40.0,74.8,25.2,61.5,17.1,24.6,12.5,13.8,19.4,44.4,46.3,53.7,87.3,12.7,55.0,45.0,Regular,2012
PHOENIX MERCURY,34,7,27,40.3,72.7,27.3,57.4,14.3,22.9,12.7,19.7,19.1,43.1,43.3,56.7,77.7,22.3,50.5,49.5,Regular,2012
MINNESOTA LYNX,34,26,8,40.1,84.7,15.3,69.4,25.7,13.9,16.8,16.6,21.0,43.7,59.3,40.7,90.1,9.9,62.9,37.1,Regular,2013
SAN ANTONIO SILVER STARS,34,12,22,40.1,73.4,26.6,59.5,20.6,23.7,12.9,16.8,21.2,38.9,52.1,47.9,90.7,9.3,60.2,39.8,Regular,2013
LOS ANGELES SPARKS,34,24,10,40.4,86.0,14.0,69.5,22.8,11.8,17.0,18.7,21.4,46.7,56.7,43.3,81.8,18.2,59.3,40.7,Regular,2013
WASHINGTON MYSTICS,34,17,17,40.4,79.9,20.1,60.2,22.7,18.4,12.0,21.5,18.3,37.5,53.9,46.1,79.6,20.4,58.2,41.8,Regular,2013
PHOENIX MERCURY,34,19,15,40.1,75.3,24.7,60.7,16.0,18.0,10.8,21.2,16.2,44.7,53.8,46.2,80.4,19.6,58.2,41.8,Regular,2013
NEW YORK LIBERTY,34,11,23,40.4,83.8,16.2,67.2,20.6,15.2,9.6,17.6,16.5,46.6,56.0,44.0,64.2,35.8,57.0,43.0,Regular,2013
ATLANTA DREAM,34,17,17,40.3,81.7,18.3,67.3,17.0,13.7,17.6,19.0,23.7,50.3,53.8,46.3,77.3,22.7,56.6,43.4,Regular,2013
TULSA SHOCK,34,11,23,40.9,69.8,30.2,52.4,10.2,26.0,11.8,21.6,20.2,42.3,45.8,54.2,88.1,11.9,56.3,43.7,Regular,2013
SEATTLE STORM,34,17,17,40.1,70.9,29.1,54.7,14.4,24.4,7.6,20.9,18.7,40.3,44.3,55.7,90.3,9.7,54.9,45.1,Regular,2013
CHICAGO SKY,34,24,10,40.1,78.8,21.2,59.2,17.1,18.2,9.0,22.5,18.6,42.1,49.6,50.4,73.8,26.2,53.7,46.3,Regular,2013
INDIANA FEVER,34,16,18,40.4,74.8,25.2,56.4,14.5,23.3,9.5,20.3,23.1,41.9,43.0,57.0,92.0,8.0,53.6,46.4,Regular,2013
CONNECTICUT SUN,34,10,24,40.1,80.0,20.0,65.8,21.1,17.5,11.3,16.6,21.8,44.7,45.7,54.3,75.2,24.8,50.1,49.9,Regular,2013
MINNESOTA LYNX,34,25,9,40.4,83.4,16.6,67.7,24.2,13.8,13.5,18.4,18.0,43.5,61.8,38.2,85.2,14.8,64.6,35.4,Regular,2014
ATLANTA DREAM,34,19,15,41.0,79.0,21.0,64.6,15.8,16.8,16.5,18.6,22.8,48.8,61.6,38.4,74.5,25.5,63.5,36.5,Regular,2014
SEATTLE STORM,34,12,22,40.4,70.8,29.2,57.6,15.1,25.0,8.1,17.4,18.7,42.5,54.8,45.2,92.0,8.0,63.1,36.9,Regular,2014
SAN ANTONIO STARS,34,16,18,40.6,72.5,27.5,57.4,16.8,25.6,11.5,17.0,18.4,40.6,54.4,45.6,92.0,8.0,63.0,37.0,Regular,2014
PHOENIX MERCURY,34,29,5,40.7,76.6,23.4,61.5,17.8,18.8,11.6,19.6,17.4,43.7,59.2,40.8,80.9,19.1,62.8,37.2,Regular,2014
WASHINGTON MYSTICS,34,16,18,41.0,74.7,25.3,60.7,19.7,21.1,9.7,18.2,20.1,41.0,58.0,42.0,74.7,25.3,61.1,38.9,Regular,2014
LOS ANGELES SPARKS,34,16,18,40.7,87.6,12.4,72.5,24.6,10.1,14.1,17.4,24.6,47.9,59.5,40.5,70.8,29.2,60.5,39.5,Regular,2014
NEW YORK LIBERTY,34,15,19,40.4,84.8,15.2,68.1,24.2,12.6,7.9,19.3,18.2,43.9,54.6,45.4,86.4,13.6,58.1,41.9,Regular,2014
CHICAGO SKY,34,15,19,40.4,84.1,15.9,65.9,24.7,13.8,10.6,20.3,16.8,41.2,54.1,45.9,79.0,21.0,57.1,42.9,Regular,2014
INDIANA FEVER,34,16,18,40.6,76.7,23.3,58.1,17.0,20.8,8.7,21.1,22.2,41.1,45.1,54.9,87.4,12.6,53.3,46.7,Regular,2014
TULSA SHOCK,34,12,22,40.7,74.3,25.7,59.2,10.0,19.9,15.3,20.9,19.2,49.2,44.7,55.3,84.2,15.8,51.9,48.1,Regular,2014
CONNECTICUT SUN,34,13,21,40.4,80.3,19.7,64.9,15.4,17.6,11.2,17.5,20.8,49.5,44.1,55.9,69.5,30.5,48.0,52.0,Regular,2014
WASHINGTON MYSTICS,34,18,16,40.3,72.8,27.2,57.1,21.4,24.6,8.2,18.3,18.2,35.7,59.8,40.2,87.3,12.7,65.9,34.1,Regular,2015
LOS ANGELES SPARKS,34,14,20,40.3,76.9,23.1,65.0,20.7,17.4,7.1,17.6,15.3,44.3,61.8,38.2,81.4,18.6,64.8,35.2,Regular,2015
SEATTLE STORM,34,10,24,40.0,76.2,23.8,61.7,18.7,19.9,8.7,18.3,17.3,43.0,59.7,40.3,80.5,19.5,63.4,36.6,Regular,2015
MINNESOTA LYNX,34,22,12,40.1,81.2,18.8,65.9,25.1,16.3,11.7,17.9,18.6,40.8,59.1,40.9,84.9,15.1,62.7,37.3,Regular,2015
NEW YORK LIBERTY,34,23,11,40.3,81.3,18.8,64.2,19.4,15.2,9.9,20.6,19.3,44.8,56.7,43.3,85.2,14.8,60.5,39.5,Regular,2015
SAN ANTONIO STARS,34,8,26,40.1,80.3,19.7,63.4,21.7,16.6,13.8,20.1,18.8,41.7,55.4,44.6,85.9,14.1,59.9,40.1,Regular,2015
PHOENIX MERCURY,34,20,14,40.7,77.4,22.6,61.0,18.7,18.4,10.1,20.6,18.7,42.3,53.7,46.3,85.4,14.6,59.0,41.0,Regular,2015
ATLANTA DREAM,34,15,19,40.3,77.6,22.4,59.6,15.0,18.8,15.7,21.6,21.7,44.6,53.3,46.7,77.1,22.9,57.4,42.6,Regular,2015
CONNECTICUT SUN,34,15,19,40.9,72.9,27.1,59.6,14.7,24.6,10.9,15.8,22.1,44.9,47.4,52.6,84.2,15.8,55.3,44.7,Regular,2015
INDIANA FEVER,34,20,14,40.3,77.1,22.9,57.3,17.6,20.7,11.1,22.0,21.2,39.7,45.4,54.6,89.0,11.0,53.9,46.1,Regular,2015
TULSA SHOCK,34,18,16,40.3,72.4,27.6,53.1,12.0,23.4,10.9,23.5,18.1,41.0,43.5,56.5,85.0,15.0,52.9,47.1,Regular,2015
CHICAGO SKY,34,21,13,40.4,82.0,18.0,65.9,24.6,15.0,13.6,19.1,17.1,41.4,46.1,53.9,80.9,19.1,50.7,49.3,Regular,2015
SEATTLE STORM,34,16,18,40.1,68.0,32.0,53.8,14.5,26.6,12.0,19.6,17.5,39.3,56.6,43.4,92.6,7.4,65.5,34.5,Regular,2016
LOS ANGELES SPARKS,34,26,8,40.3,75.5,24.5,61.0,17.7,21.3,12.2,17.7,19.0,43.3,61.3,38.7,82.0,18.0,65.2,34.8,Regular,2016
NEW YORK LIBERTY,34,21,13,41.0,82.1,17.9,62.6,19.2,16.5,10.1,20.9,17.0,43.4,58.0,42.0,86.9,13.1,62.3,37.7,Regular,2016
MINNESOTA LYNX,34,28,6,40.6,82.5,17.5,65.7,23.4,14.1,13.6,20.2,20.9,42.3,59.8,40.2,78.8,21.2,62.2,37.8,Regular,2016
WASHINGTON MYSTICS,34,13,21,40.9,70.3,29.7,52.1,18.1,26.2,8.1,21.7,16.2,34.0,54.3,45.7,85.4,14.6,62.1,37.9,Regular,2016
SAN ANTONIO STARS,34,7,27,40.4,77.2,22.8,61.3,19.9,18.6,14.2,20.0,18.9,41.4,54.6,45.4,92.8,7.2,61.0,39.0,Regular,2016
INDIANA FEVER,34,17,17,40.3,75.6,24.4,59.9,20.2,19.1,9.4,21.0,20.2,39.7,54.4,45.6,89.1,10.9,60.5,39.5,Regular,2016
PHOENIX MERCURY,34,16,18,40.6,72.3,27.7,55.0,14.7,21.8,12.0,23.2,17.7,40.2,52.5,47.5,74.6,25.4,57.2,42.8,Regular,2016
CHICAGO SKY,34,18,16,40.5,84.7,15.3,67.8,24.6,14.1,12.2,18.1,17.9,43.2,50.7,49.3,84.8,15.2,54.8,45.2,Regular,2016
DALLAS WINGS,34,11,23,40.9,68.9,31.1,51.0,10.4,25.5,12.5,23.5,16.4,40.6,43.4,56.6,87.9,12.1,54.6,45.4,Regular,2016
CONNECTICUT SUN,34,14,20,40.9,74.4,25.6,62.2,14.4,20.4,13.3,17.3,21.2,47.9,46.9,53.1,81.3,18.8,53.1,46.9,Regular,2016
ATLANTA DREAM,34,17,17,40.9,81.1,18.9,61.7,14.0,13.7,15.6,24.6,18.7,47.8,48.4,51.6,74.8,25.2,51.8,48.2,Regular,2016
SEATTLE STORM,34,15,19,40.4,68.6,31.4,55.4,14.0,26.4,9.0,18.2,17.5,41.4,59.8,40.2,89.5,10.5,66.9,33.1,Regular,2017
CHICAGO SKY,34,12,22,40.7,75.7,24.3,63.1,21.4,23.3,14.2,13.6,16.6,41.7,60.0,40.0,87.1,12.9,65.4,34.6,Regular,2017
