Team,GP,W,L,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT - MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST,Season Type,Season
PHOENIX MERCURY,9,7,2,40.0,61.6,38.4,45.0,13.2,33.8,17.1,21.2,17.3,31.8,47.4,52.6,86.6,13.4,60.5,39.5,Playoffs,2007
INDIANA FEVER,6,3,3,43.3,71.5,28.5,51.1,17.7,27.9,13.9,21.0,22.3,33.3,45.8,54.2,93.0,7.0,58.4,41.6,Playoffs,2007
NEW YORK LIBERTY,3,1,2,41.7,71.9,28.1,56.5,29.6,27.8,4.2,15.7,15.7,26.9,47.5,52.5,90.0,10.0,58.0,42.0,Playoffs,2007
DETROIT SHOCK,11,6,5,40.5,78.3,21.7,61.1,21.1,21.4,7.7,17.5,15.7,40.0,48.7,51.3,78.7,21.3,54.3,45.7,Playoffs,2007
SACRAMENTO MONARCHS,3,1,2,40.0,82.9,17.1,61.3,12.4,16.0,8.0,22.7,19.1,48.9,52.2,47.8,66.7,33.3,54.3,45.7,Playoffs,2007
SEATTLE STORM,2,0,2,40.0,64.2,35.8,50.9,10.4,36.4,6.4,12.7,9.8,40.5,31.8,68.2,90.5,9.5,50.8,49.2,Playoffs,2007
LOS ANGELES SPARKS,6,3,3,40.0,78.4,21.6,63.2,21.4,19.2,12.8,17.6,21.9,41.8,59.4,40.6,100.0,0.0,66.3,33.8,Playoffs,2008
SAN ANTONIO SILVER STARS,9,4,5,40.6,75.7,24.3,55.9,23.7,21.5,8.0,22.6,21.7,32.1,58.7,41.3,82.6,17.4,63.6,36.4,Playoffs,2008
INDIANA FEVER,3,1,2,41.7,65.2,34.8,46.8,15.3,25.7,8.1,27.5,18.0,31.5,51.9,48.1,94.7,5.3,63.4,36.6,Playoffs,2008
SACRAMENTO MONARCHS,3,1,2,41.7,81.1,18.9,69.1,18.1,16.0,10.7,14.8,25.9,51.0,52.4,47.6,84.6,15.4,56.7,43.3,Playoffs,2008
CONNECTICUT SUN,3,1,2,40.0,72.9,27.1,61.6,20.2,18.2,9.1,20.2,23.7,41.4,50.8,49.2,83.3,16.7,56.2,43.8,Playoffs,2008
NEW YORK LIBERTY,6,3,3,40.0,68.0,32.0,54.5,12.6,33.3,3.3,12.1,17.2,41.9,43.5,56.5,81.8,18.2,54.6,45.4,Playoffs,2008
DETROIT SHOCK,9,7,2,40.6,80.6,19.4,63.0,23.3,17.7,7.1,19.2,22.9,39.7,46.6,53.4,84.6,15.4,52.6,47.4,Playoffs,2008
SEATTLE STORM,3,1,2,40.0,78.0,22.0,56.9,20.3,16.8,11.7,26.4,31.0,36.5,41.1,58.9,81.8,18.2,47.8,52.2,Playoffs,2008
LOS ANGELES SPARKS,6,3,3,40.0,78.9,21.1,56.5,13.5,19.6,5.3,23.8,19.4,43.0,52.2,47.8,90.3,9.7,59.4,40.6,Playoffs,2009
SEATTLE STORM,3,1,2,40.0,72.5,27.5,50.5,14.9,28.2,9.4,21.3,28.7,35.6,45.1,54.9,94.7,5.3,58.6,41.4,Playoffs,2009
INDIANA FEVER,10,6,4,41.0,73.8,26.2,56.8,14.1,19.8,10.7,23.4,21.1,42.7,52.7,47.3,78.2,21.8,57.5,42.5,Playoffs,2009
ATLANTA DREAM,2,0,2,40.0,78.5,21.5,54.8,14.3,21.4,11.9,23.8,17.3,40.5,52.2,47.8,75.0,25.0,56.9,43.1,Playoffs,2009
DETROIT SHOCK,5,3,2,40.0,80.4,19.6,62.2,22.4,17.9,15.9,19.9,22.6,39.8,48.8,51.2,91.7,8.3,55.7,44.3,Playoffs,2009
PHOENIX MERCURY,11,7,4,40.5,70.3,29.7,53.8,12.6,26.7,11.9,19.5,16.9,41.2,42.1,57.9,80.4,19.6,51.6,48.4,Playoffs,2009
SAN ANTONIO SILVER STARS,3,1,2,40.0,71.6,28.4,52.7,16.0,30.9,11.1,16.4,11.5,36.6,42.0,58.0,74.1,25.9,51.0,49.0,Playoffs,2009
WASHINGTON MYSTICS,2,0,2,42.5,77.6,22.4,66.7,17.0,15.7,11.8,17.6,24.8,49.7,41.2,58.8,87.5,12.5,47.5,52.5,Playoffs,2009
PHOENIX MERCURY,4,2,2,40.0,75.7,24.3,58.9,14.4,26.7,15.3,14.4,18.3,44.4,66.0,34.0,78.1,21.9,68.8,31.2,Playoffs,2010
SAN ANTONIO SILVER STARS,2,0,2,40.0,73.7,26.3,48.2,9.6,28.9,17.5,22.9,17.5,38.6,57.5,42.5,87.5,12.5,66.1,33.9,Playoffs,2010
SEATTLE STORM,7,7,0,40.0,68.0,32.0,52.2,11.3,27.6,9.2,20.1,20.3,41.0,54.2,45.8,85.2,14.8,62.3,37.7,Playoffs,2010
ATLANTA DREAM,7,4,3,40.0,83.6,16.4,63.5,20.4,14.4,17.7,22.2,18.2,43.1,52.8,47.2,76.7,23.3,55.9,44.1,Playoffs,2010
NEW YORK LIBERTY,5,2,3,40.0,77.4,22.6,62.0,19.1,21.9,9.1,16.1,16.9,42.8,48.0,52.0,82.8,17.2,54.6,45.4,Playoffs,2010
INDIANA FEVER,3,1,2,40.0,75.6,24.4,54.1,17.1,20.3,8.1,25.7,19.4,36.9,43.3,56.7,73.3,26.7,49.3,50.7,Playoffs,2010
LOS ANGELES SPARKS,2,0,2,40.0,78.0,22.0,54.5,13.6,27.3,4.5,18.2,22.0,40.9,36.1,63.9,83.3,16.7,47.9,52.1,Playoffs,2010
WASHINGTON MYSTICS,2,0,2,40.0,76.9,23.1,52.7,9.6,16.2,12.0,31.1,12.0,43.1,29.5,70.5,88.9,11.1,39.6,60.4,Playoffs,2010
SAN ANTONIO SILVER STARS,3,1,2,40.0,66.1,33.9,50.9,18.5,31.9,9.3,17.1,19.9,32.4,70.9,29.1,69.6,30.4,70.5,29.5,Playoffs,2011
CONNECTICUT SUN,2,0,2,40.0,79.6,20.4,52.7,20.3,28.4,9.5,18.9,22.3,32.4,64.1,35.9,71.4,28.6,66.0,34.0,Playoffs,2011
NEW YORK LIBERTY,3,1,2,40.0,73.8,26.2,59.7,15.4,23.1,9.0,17.2,25.8,44.3,51.5,48.5,76.5,23.5,56.6,43.4,Playoffs,2011
INDIANA FEVER,6,3,3,40.0,73.2,26.8,55.4,13.5,25.0,10.6,19.6,17.3,41.9,46.3,53.7,86.5,13.5,55.6,44.4,Playoffs,2011
MINNESOTA LYNX,8,7,1,40.0,83.7,16.3,64.4,19.5,14.4,14.0,21.1,17.2,44.9,51.6,48.4,78.8,21.2,55.1,44.9,Playoffs,2011
ATLANTA DREAM,8,4,4,40.0,86.1,13.9,66.0,20.2,14.0,20.5,20.0,21.4,45.9,47.9,52.1,73.3,26.7,51.0,49.0,Playoffs,2011
PHOENIX MERCURY,5,2,3,40.0,73.7,26.3,63.7,16.2,17.2,15.1,19.1,13.6,47.5,46.7,53.3,72.7,27.3,50.7,49.3,Playoffs,2011
SEATTLE STORM,3,1,2,40.0,66.5,33.5,44.5,10.1,32.8,8.8,22.7,16.8,34.5,35.8,64.2,76.9,23.1,49.4,50.6,Playoffs,2011
SEATTLE STORM,3,1,2,43.3,69.8,30.2,53.5,14.0,28.9,13.2,17.5,12.7,39.5,60.7,39.3,95.5,4.5,69.9,30.1,Playoffs,2012
CONNECTICUT SUN,5,3,2,40.0,75.5,24.5,60.1,24.2,23.1,6.1,16.8,14.9,35.8,55.0,45.0,67.9,32.1,57.7,42.3,Playoffs,2012
MINNESOTA LYNX,9,5,4,41.1,77.7,22.3,60.8,19.3,21.2,11.5,18.0,18.4,41.5,46.4,53.6,79.6,20.4,52.7,47.3,Playoffs,2012
NEW YORK LIBERTY,2,0,2,40.0,73.2,26.8,63.9,26.2,19.7,10.7,16.4,17.2,37.7,43.6,56.4,87.5,12.5,51.1,48.9,Playoffs,2012
SAN ANTONIO SILVER STARS,2,0,2,40.0,70.7,29.3,60.0,10.0,23.3,8.9,16.7,16.1,50.0,44.4,55.6,71.4,28.6,50.0,50.0,Playoffs,2012
ATLANTA DREAM,3,1,2,40.0,84.2,15.8,72.2,29.1,11.9,16.3,15.9,28.6,43.2,50.0,50.0,44.4,55.6,49.5,50.5,Playoffs,2012
INDIANA FEVER,10,7,3,40.0,72.4,27.6,55.9,15.1,23.8,13.5,20.3,21.5,40.9,38.4,61.6,80.6,19.4,47.7,52.3,Playoffs,2012
LOS ANGELES SPARKS,4,2,2,40.0,79.6,20.4,64.6,16.0,16.3,16.3,19.1,20.0,48.6,39.8,60.2,63.2,36.8,43.2,56.8,Playoffs,2012
WASHINGTON MYSTICS,3,1,2,40.0,73.9,26.1,58.5,23.4,22.3,13.3,19.1,17.0,35.1,58.2,41.8,85.7,14.3,63.8,36.2,Playoffs,2013
CHICAGO SKY,2,0,2,40.0,85.2,14.8,57.4,15.5,9.3,3.9,33.3,18.6,41.9,54.1,45.9,100.0,0.0,58.5,41.5,Playoffs,2013
INDIANA FEVER,4,2,2,40.0,72.5,27.5,54.7,12.8,24.3,6.4,20.9,14.2,41.9,45.7,54.3,100.0,0.0,58.1,41.9,Playoffs,2013
MINNESOTA LYNX,7,7,0,40.0,87.8,12.2,72.0,29.7,9.8,14.5,18.3,24.4,42.3,54.8,45.2,83.3,16.7,57.1,42.9,Playoffs,2013
PHOENIX MERCURY,5,2,3,40.0,76.5,23.5,72.5,19.2,9.9,7.4,17.6,12.9,53.3,56.8,43.2,58.3,41.7,56.9,43.1,Playoffs,2013
ATLANTA DREAM,8,4,4,40.0,81.1,18.9,67.0,13.8,13.7,13.3,19.3,24.6,53.2,48.9,51.1,88.0,12.0,53.6,46.4,Playoffs,2013
SEATTLE STORM,2,0,2,40.0,73.0,27.0,67.2,15.1,20.2,5.0,12.6,21.8,52.1,40.0,60.0,87.5,12.5,47.9,52.1,Playoffs,2013
LOS ANGELES SPARKS,3,1,2,40.0,83.1,16.9,75.2,27.4,2.6,15.4,22.2,19.7,47.9,34.1,65.9,100.0,0.0,35.6,64.4,Playoffs,2013
ATLANTA DREAM,3,1,2,40.0,83.3,16.7,65.9,16.1,14.5,20.1,19.7,23.7,49.8,61.0,39.0,100.0,0.0,66.0,34.0,Playoffs,2014
WASHINGTON MYSTICS,2,0,2,42.5,71.4,28.6,55.0,14.8,24.2,14.8,20.8,19.5,40.3,58.5,41.5,66.7,33.3,60.4,39.6,Playoffs,2014
MINNESOTA LYNX,5,3,2,40.0,82.7,17.3,67.8,24.7,14.5,14.3,17.7,19.4,43.1,55.7,44.3,90.0,10.0,60.0,40.0,Playoffs,2014
PHOENIX MERCURY,8,7,1,40.0,75.5,24.5,64.6,17.6,18.2,10.1,17.2,20.5,47.0,53.1,46.9,81.0,19.0,57.5,42.5,Playoffs,2014
LOS ANGELES SPARKS,2,0,2,40.0,86.2,13.8,84.3,25.7,4.3,20.0,11.4,20.0,58.6,57.6,42.4,50.0,50.0,57.4,42.6,Playoffs,2014
CHICAGO SKY,9,4,5,41.1,80.0,20.0,62.0,18.3,15.3,5.4,22.7,14.0,43.7,51.2,48.8,82.9,17.1,55.6,44.4,Playoffs,2014
SAN ANTONIO STARS,2,0,2,40.0,75.9,24.1,57.8,17.3,26.0,10.4,16.2,17.9,40.5,46.0,54.0,80.0,20.0,53.8,46.2,Playoffs,2014
INDIANA FEVER,5,3,2,43.0,75.0,25.0,53.4,11.5,21.2,6.5,25.4,19.9,41.9,39.2,60.8,92.6,7.4,50.4,49.6,Playoffs,2014
LOS ANGELES SPARKS,3,1,2,40.0,76.1,23.9,58.4,16.8,23.9,9.7,17.7,21.7,41.6,59.1,40.9,77.8,22.2,63.1,36.9,Playoffs,2015
NEW YORK LIBERTY,6,3,3,41.7,80.6,19.4,63.5,22.4,20.8,6.3,15.7,19.2,41.2,56.3,43.7,87.1,12.9,61.8,38.2,Playoffs,2015
CHICAGO SKY,3,1,2,40.0,80.8,19.2,68.5,30.6,19.4,9.7,12.1,14.1,37.9,52.9,47.1,93.8,6.3,59.4,40.6,Playoffs,2015
WASHINGTON MYSTICS,3,1,2,43.3,71.6,28.4,47.4,14.0,32.9,7.9,19.7,14.0,33.3,51.9,48.1,72.0,28.0,58.2,41.8,Playoffs,2015
PHOENIX MERCURY,4,2,2,40.0,79.3,20.7,58.1,20.6,21.3,9.4,20.6,12.9,37.4,50.0,50.0,86.4,13.6,57.1,42.9,Playoffs,2015
MINNESOTA LYNX,10,7,3,40.0,82.9,17.1,67.8,23.5,13.5,10.5,18.7,18.7,44.3,54.4,45.6,69.7,30.3,56.2,43.8,Playoffs,2015
INDIANA FEVER,11,6,5,40.0,76.7,23.3,61.2,18.7,21.0,8.7,17.8,18.3,42.5,43.0,57.0,91.2,8.8,52.0,48.0,Playoffs,2015
TULSA SHOCK,2,0,2,40.0,72.4,27.6,57.4,9.8,17.2,18.0,25.4,15.6,47.5,40.0,60.0,57.1,42.9,42.9,57.1,Playoffs,2015
SEATTLE STORM,1,0,1,40.0,68.1,31.9,49.4,4.7,24.7,0.0,25.9,16.5,44.7,57.1,42.9,85.7,14.3,64.3,35.7,Playoffs,2016
MINNESOTA LYNX,8,5,3,40.0,85.9,14.1,68.9,23.5,11.0,13.3,20.1,15.7,45.5,62.6,37.4,80.0,20.0,64.2,35.8,Playoffs,2016
LOS ANGELES SPARKS,9,6,3,40.0,71.8,28.2,59.9,16.5,23.1,10.1,17.0,18.4,43.5,55.4,44.6,80.7,19.3,60.6,39.4,Playoffs,2016
ATLANTA DREAM,2,1,1,40.0,73.8,26.2,55.2,16.7,21.9,6.8,22.9,15.1,38.5,50.9,49.1,92.9,7.1,59.7,40.3,Playoffs,2016
CHICAGO SKY,5,2,3,40.0,89.1,10.9,75.2,21.8,8.0,16.5,16.7,19.9,53.4,56.1,43.9,81.8,18.2,57.8,42.2,Playoffs,2016
PHOENIX MERCURY,5,2,3,40.0,74.1,25.9,57.5,14.2,19.2,5.0,23.3,15.1,43.4,52.4,47.6,82.1,17.9,57.8,42.2,Playoffs,2016
INDIANA FEVER,1,0,1,40.0,73.1,26.9,64.1,23.1,15.4,2.6,20.5,19.2,41.0,48.0,52.0,100.0,0.0,55.2,44.8,Playoffs,2016
NEW YORK LIBERTY,1,0,1,40.0,78.6,21.4,68.1,14.9,16.0,6.4,16.0,17.0,53.2,46.9,53.1,80.0,20.0,51.4,48.6,Playoffs,2016
LOS ANGELES SPARKS,8,5,3,40.0,74.1,25.9,64.1,20.1,17.2,14.0,18.7,21.5,44.0,59.2,40.8,88.9,11.1,63.7,36.3,Playoffs,2017
PHOENIX MERCURY,5,2,3,40.0,69.2,30.8,46.4,14.3,31.4,14.0,22.2,18.1,32.1,53.8,46.2,80.5,19.5,62.1,37.9,Playoffs,2017
MINNESOTA LYNX,8,6,2,40.0,79.2,20.8,64.4,19.8,21.0,7.4,14.6,18.5,44.7,54.2,45.8,76.1,23.9,58.1,41.9,Playoffs,2017
DALLAS WINGS,1,0,1,40.0,73.8,26.3,65.8,18.4,7.9,30.3,26.3,17.1,47.4,56.0,44.0,50.0,50.0,55.6,44.4,Playoffs,2017
NEW YORK LIBERTY,1,0,1,40.0,63.3,36.7,55.9,8.8,35.3,17.6,8.8,2.9,47.1,47.4,52.6,75.0,25.0,55.6,44.4,Playoffs,2017
SEATTLE STORM,1,0,1,40.0,68.3,31.7,46.4,17.4,26.1,13.0,27.5,17.4,29.0,43.8,56.3,83.3,16.7,54.5,45.5,Playoffs,2017
WASHINGTON MYSTICS,5,2,3,40.0,71.7,28.3,54.7,18.4,28.4,6.2,16.9,12.9,36.3,45.5,54.5,76.3,23.7,53.4,46.6,Playoffs,2017
CONNECTICUT SUN,1,0,1,40.0,76.8,23.2,67.5,12.0,14.5,1.2,18.1,13.3,55.4,32.1,67.9,75.0,25.0,37.5,62.5,Playoffs,2017
SEATTLE STORM,8,6,2,40.6,67.8,32.2,54.9,11.3,29.7,13.5,15.4,15.4,43.6,54.0,46.0,92.6,7.4,64.2,35.8,Playoffs,2018
LOS ANGELES SPARKS,2,1,1,40.0,68.9,31.1,54.7,15.8,28.1,7.9,17.3,25.9,38.8,52.6,47.4,76.9,23.1,58.8,41.2,Playoffs,2018
WASHINGTON MYSTICS,9,4,5,40.0,67.8,32.2,56.7,17.4,24.9,9.2,18.4,17.0,39.3,48.6,51.4,88.7,11.3,57.7,42.3,Playoffs,2018
PHOENIX MERCURY,7,4,3,40.7,64.7,35.3,61.2,9.6,26.8,11.8,12.0,15.8,51.7,52.6,47.4,73.2,26.8,57.3,42.7,Playoffs,2018
CONNECTICUT SUN,1,0,1,40.0,77.5,22.5,60.5,18.6,31.4,7.0,8.1,7.0,41.9,50.0,50.0,77.8,22.2,57.1,42.9,Playoffs,2018
MINNESOTA LYNX,1,0,1,40.0,76.2,23.8,73.5,14.7,17.6,11.8,8.8,17.6,58.8,52.0,48.0,75.0,25.0,55.2,44.8,Playoffs,2018
DALLAS WINGS,1,0,1,40.0,72.1,27.9,65.1,16.9,14.5,16.9,20.5,4.8,48.2,51.9,48.1,75.0,25.0,54.8,45.2,Playoffs,2018
ATLANTA DREAM,5,2,3,40.0,75.4,24.6,62.0,19.5,21.8,7.5,16.3,13.5,42.5,46.0,54.0,82.8,17.2,52.9,47.1,Playoffs,2018
CHICAGO SKY,2,1,1,40.0,68.6,31.4,59.9,13.2,27.4,18.8,12.7,19.8,46.7,72.9,27.1,83.3,16.7,75.3,24.7,Playoffs,2019
LAS VEGAS ACES,5,2,3,40.0,81.3,18.7,61.6,16.9,19.5,10.0,18.9,10.8,44.7,63.4,36.6,83.3,16.7,66.9,33.1,Playoffs,2019
SEATTLE STORM,2,1,1,40.0,68.5,31.5,53.6,10.5,29.4,7.8,17.0,15.7,43.1,58.5,41.5,86.7,13.3,66.1,33.9,Playoffs,2019
CONNECTICUT SUN,8,5,3,40.0,71.5,28.5,61.7,15.1,24.8,13.2,13.5,15.9,46.7,54.0,46.0,98.2,1.8,63.3,36.7,Playoffs,2019
WASHINGTON MYSTICS,9,6,3,40.0,65.6,34.4,52.9,18.8,32.9,3.2,14.1,14.8,34.1,52.5,47.5,86.7,13.3,62.5,37.5,Playoffs,2019
PHOENIX MERCURY,1,0,1,40.0,78.5,21.5,50.0,23.7,19.7,9.2,30.3,14.5,26.3,63.2,36.8,60.0,40.0,62.5,37.5,Playoffs,2019
LOS ANGELES SPARKS,4,1,3,40.0,69.4,30.6,64.6,15.8,22.7,9.6,12.7,19.6,48.8,51.1,48.9,86.4,13.6,57.8,42.2,Playoffs,2019
MINNESOTA LYNX,1,0,1,40.0,72.9,27.1,73.0,24.3,20.3,10.8,6.8,20.3,48.6,40.7,59.3,100.0,0.0,50.0,50.0,Playoffs,2019
SEATTLE STORM,6,6,0,40.0,62.9,37.1,55.6,10.8,31.2,10.4,13.3,16.7,44.8,71.6,28.4,91.4,8.6,77.0,23.0,Playoffs,2020
PHOENIX MERCURY,2,1,1,40.0,58.1,41.9,43.9,14.6,40.2,12.2,15.9,18.3,29.3,66.7,33.3,77.3,22.7,70.7,29.3,Playoffs,2020
LOS ANGELES SPARKS,1,0,1,40.0,70.0,30.0,61.0,20.3,10.2,3.4,28.8,22.0,40.7,66.7,33.3,100.0,0.0,70.0,30.0,Playoffs,2020
LAS VEGAS ACES,8,3,5,40.0,82.7,17.3,65.4,19.2,15.2,7.8,19.4,16.9,46.2,63.9,36.1,90.0,10.0,67.4,32.6,Playoffs,2020
CONNECTICUT SUN,7,4,3,40.0,73.7,26.3,61.0,17.3,22.6,13.8,16.4,17.3,43.8,61.4,38.6,82.9,17.1,65.7,34.3,Playoffs,2020
MINNESOTA LYNX,4,1,3,40.0,64.1,35.9,46.8,8.2,38.9,10.4,14.2,14.6,38.6,45.9,54.1,95.1,4.9,63.5,36.5,Playoffs,2020
CHICAGO SKY,1,0,1,40.0,66.7,33.3,54.3,17.3,29.6,4.9,16.0,16.0,37.0,50.0,50.0,87.5,12.5,60.0,40.0,Playoffs,2020
WASHINGTON MYSTICS,1,0,1,40.0,75.7,24.3,54.8,16.7,32.1,2.4,13.1,20.2,38.1,47.8,52.2,88.9,11.1,59.4,40.6,Playoffs,2020
SEATTLE STORM,1,0,1,45.0,67.1,32.9,47.5,5.0,33.8,2.5,18.8,11.3,42.5,57.9,42.1,88.9,11.1,67.9,32.1,Playoffs,2021
CHICAGO SKY,10,8,2,41.5,66.0,34.0,57.4,8.3,27.6,11.5,15.0,18.3,49.1,60.9,39.1,87.2,12.8,67.3,32.7,Playoffs,2021
PHOENIX MERCURY,11,6,5,40.9,66.5,33.5,54.1,13.5,29.1,9.3,16.8,15.0,40.6,64.5,35.5,74.2,25.8,67.1,32.9,Playoffs,2021
LAS VEGAS ACES,5,2,3,40.0,74.4,25.6,59.9,20.8,22.6,9.2,17.5,17.7,39.2,59.1,40.9,68.8,31.3,61.0,39.0,Playoffs,2021
CONNECTICUT SUN,4,1,3,42.5,76.7,23.3,57.7,7.4,25.8,6.4,16.6,16.0,50.3,52.1,47.9,89.3,10.7,60.7,39.3,Playoffs,2021
NEW YORK LIBERTY,1,0,1,40.0,59.4,40.6,48.8,7.3,43.9,6.1,7.3,20.7,41.5,60.0,40.0,58.3,41.7,59.4,40.6,Playoffs,2021
DALLAS WINGS,1,0,1,40.0,68.1,31.9,53.1,18.8,37.5,17.2,9.4,10.9,34.4,41.2,58.8,87.5,12.5,56.0,44.0,Playoffs,2021
MINNESOTA LYNX,1,0,1,40.0,73.1,26.9,52.6,10.5,35.5,5.3,11.8,28.9,42.1,35.0,65.0,88.9,11.1,51.7,48.3,Playoffs,2021
CHICAGO SKY,8,4,4,40.0,66.0,34.0,58.3,10.2,26.4,15.9,15.3,20.7,48.1,66.7,33.3,93.0,7.0,72.8,27.2,Playoffs,2022
NEW YORK LIBERTY,3,1,2,40.0,67.2,32.8,56.9,12.1,27.2,9.1,15.9,13.4,44.8,66.7,33.3,81.0,19.0,70.1,29.9,Playoffs,2022
CONNECTICUT SUN,12,6,6,40.0,80.3,19.7,66.0,11.6,17.7,13.4,16.3,20.2,54.4,65.8,34.2,89.3,10.7,69.4,30.6,Playoffs,2022
SEATTLE STORM,6,3,3,40.8,67.1,32.9,54.0,14.6,31.0,10.7,14.9,14.2,39.5,64.5,35.5,77.8,22.2,68.2,31.8,Playoffs,2022
WASHINGTON MYSTICS,2,0,2,40.0,64.9,35.1,47.9,12.0,37.7,7.2,14.4,12.0,35.9,55.0,45.0,90.5,9.5,67.2,32.8,Playoffs,2022
DALLAS WINGS,3,1,2,40.0,67.4,32.6,57.7,11.2,27.9,7.9,14.4,18.6,46.5,54.8,45.2,95.0,5.0,64.6,35.4,Playoffs,2022
LAS VEGAS ACES,10,8,2,40.5,60.7,39.3,50.2,14.4,34.2,7.0,15.6,15.0,35.8,53.2,46.8,73.5,26.5,59.6,40.4,Playoffs,2022
PHOENIX MERCURY,2,0,2,40.0,72.3,27.7,65.7,18.2,21.0,9.1,13.3,14.0,47.6,46.8,53.2,100.0,0.0,56.1,43.9,Playoffs,2022
CONNECTICUT SUN,7,3,4,40.0,67.3,32.7,55.0,12.2,33.9,11.8,11.1,18.3,42.8,62.0,38.0,92.3,7.7,70.9,29.1,Playoffs,2023
WASHINGTON MYSTICS,2,0,2,42.5,69.0,31.0,62.5,11.3,24.4,12.5,13.1,16.9,51.3,66.0,34.0,84.6,15.4,69.8,30.2,Playoffs,2023
NEW YORK LIBERTY,10,6,4,40.5,60.7,39.3,51.1,8.8,33.7,11.6,15.2,15.5,42.3,58.4,41.6,84.8,15.2,66.4,33.6,Playoffs,2023
MINNESOTA LYNX,3,1,2,40.0,62.4,37.6,53.5,11.1,30.4,5.5,16.1,16.6,42.4,51.7,48.3,95.5,4.5,63.8,36.3,Playoffs,2023
LAS VEGAS ACES,9,8,1,40.0,66.9,33.1,52.8,10.0,28.2,14.0,19.0,15.3,42.7,57.6,42.4,76.7,23.3,62.6,37.4,Playoffs,2023
DALLAS WINGS,5,2,3,40.0,70.5,29.5,58.6,8.0,27.7,15.8,13.7,18.4,50.6,52.4,47.6,82.1,17.9,59.5,40.5,Playoffs,2023
CHICAGO SKY,2,0,2,40.0,68.6,31.4,57.4,17.1,27.9,18.6,14.7,11.6,40.3,48.6,51.4,91.7,8.3,59.2,40.8,Playoffs,2023
ATLANTA DREAM,2,0,2,40.0,67.4,32.6,46.2,9.0,38.5,11.5,15.4,18.6,37.2,44.4,55.6,80.0,20.0,57.1,42.9,Playoffs,2023
